name,description,site,github,tags,stars
jWebAudio,Web Audio seeks to process and synthesize audio in web applications. jWebAudio keeps the technical details of Web Audio under the hood and makes it easier to control your audio.,http://01org.github.io/jWebAudio/,https://github.com/01org/jWebAudio,,53
CompoundJS,MVC framework for NodeJS. It allows you to build web application in minutes. Works on client-side too.,http://compoundjs.com,https://github.com/1602/compound,"express, rails",1478
Thread.js,Thread.js offers an easy way to create inline-threads.,http://1unitedpower.github.com/thread.js/,https://github.com/1UnitedPower/thread.js,"Multithreading, Thread, Webworker, worker",1
WysiHat,WysiHat is a WYSIWYG JavaScript framework that provides an extensible foundation to design your own rich text editor. WysiHat stays out of your way and leaves the UI design to you.,http://github.com/josh/wysihat/,https://github.com/37signals/wysihat,prototype,705
Game Develop,Game creator software that can export HTML5 or native games.\nNo programming skills is required: Anyone can create a game using Game Develop thanks to the intuitive events system used to build all the game logic.,http://www.compilgames.net,https://github.com/4ian/GDJS,"2d, canvas, game, webgl",1
Spectacular,Spectacular is a BDD framework for CoffeeScript and JavaScript whose attempt to bring the power of RSpec to JavaScript. Spectacular tries to favor the best practices used for writing better RSpec tests in its design.,http://abe33.github.io/spectacular/,https://github.com/abe33/spectacular,"bdd, coffeescript, npm",75
Ivy.js,"Ivy ties JavaScript objects to the DOM, allowing you to focus on the relationships of your data.  You get an MVVM (model view / view model) implementation, and live templating.  It does this with no external dependencies, and with a small footprint (9k minified).",http://adamsanderson.github.com/ivy/,https://github.com/adamsanderson/ivy,,17
Numeral.js,"Numeral.js is a tiny JS library for formatting and manipulating numbers.  Formats include number of decimals, currency, percentages, time, and more. It is lightweight, easy to localize, has no dependencies, and is available for use in the browser as well as node.js.",http://numeraljs.com,https://github.com/adamwdraper/Numeral-js,"currency, format, numbers, numeral, percentages, time",1355
Jamal,"Jamal is a set of conventions and small javascript libraries to archieve a complete separation of html, css and javascript in your web application. Jamal is built on jQuery and inspired by MVC frameworks like Ruby on Rails, CakePHP and its derivatives.\n\nSo Jamal tries not to stand in your way and helps you to organize your javascript code. Javascript code is likely held in functions and used to end up in spaghetti.",http://jamal-mvc.com,https://github.com/adcloud/jamal,,27
basket.js,"basket.js is a small JavaScript library supporting localStorage caching of scripts. If script(s) have previously been saved locally, they will simply be loaded and injected into the current document. If not, they will be XHR'd in for use right away, but cached so that no additional loads are required in the future.",http://addyosmani.github.com/basket.js,https://github.com/addyosmani/basket.js,,893
